year,month,day,hour,generation,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,system size,normalized power
2022,6,22,0,0.0,12.4,12.4,9.2,80.83,0.0,0.0,None,0.0,0.0,41.8,14.4,290.0,1007.9,91.1,10.0,0,0.0,0,10,Overcast,cloudy,33177099999.3339,852.0,0.0
2022,6,22,1,0.0,12.5,12.5,9.0,79.23,0.0,0.0,None,0.0,0.0,43.9,24.1,281.1,1007.0,95.7,24.1,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,22,2,0.0,12.7,12.7,9.0,78.19,0.0,0.0,None,0.0,0.0,49.3,27.0,289.8,1007.0,95.3,24.1,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,22,3,0.0,10.9,10.9,8.1,82.85,0.0,0.0,None,0.0,0.0,49.3,10.8,300.0,1009.8,80.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,33393099999,772.0,0.0
2022,6,22,4,0.0,12.2,12.2,8.8,79.72,0.0,0.0,rain,0.0,0.0,50.4,27.4,293.7,1007.0,97.1,20.8,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,22,5,0.0,11.9,11.9,8.7,80.76,0.0,0.0,rain,0.0,0.0,51.5,27.0,294.7,1007.0,100.0,24.1,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,22,6,1.0,11.5,11.5,9.3,86.35,0.0,0.0,None,0.0,0.0,49.0,18.4,306.0,1008.3,91.1,10.0,1,0.0,0,10,Overcast,cloudy,33177099999.3339,852.0,0.0011737089201877935
2022,6,22,7,8.0,12.0,12.0,8.9,81.32,0.0,0.0,None,0.0,0.0,47.9,25.2,298.9,1007.0,91.1,24.1,7,0.0,0,10,Overcast,cloudy,remote,864.0,0.009259259259259259
2022,6,22,8,8.0,12.3,12.3,9.3,81.91,0.0,0.0,None,0.0,0.0,50.8,27.4,303.6,1008.0,100.0,24.1,19,0.1,0,10,Overcast,cloudy,remote,864.0,0.009259259259259259
2022,6,22,9,127.0,13.9,13.9,9.7,76.01,0.555,100.0,rain,0.0,0.0,54.0,14.4,311.0,1009.4,91.1,15.5,23,0.1,0,10,"Rain, Overcast",rain,33177099999.3339,852.0,0.14906103286384975
2022,6,22,10,293.0,14.3,14.3,10.2,76.37,0.0,0.0,None,0.0,0.0,53.6,25.9,316.4,1009.0,94.5,24.1,28,0.1,0,10,Overcast,cloudy,remote,864.0,0.33912037037037035
2022,6,22,11,622.0,16.0,16.0,9.9,67.1,0.0,0.0,None,0.0,0.0,50.4,25.6,322.1,1009.0,85.0,24.1,52,0.2,1,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.7199074074074074
2022,6,22,12,642.0,18.5,18.5,10.4,59.08,0.0,0.0,rain,0.0,0.0,56.9,19.6,304.0,1009.4,60.0,15.5,562,2.0,6,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.7535211267605634
2022,6,22,13,563.0,18.9,18.9,10.4,57.77,0.0,0.0,rain,0.0,0.0,56.2,27.0,317.3,1009.0,53.2,17.3,877,3.2,9,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.6516203703703703
2022,6,22,14,508.0,20.2,20.2,9.9,51.54,0.0,0.0,rain,0.0,0.0,50.8,26.6,323.5,1009.0,74.1,24.1,459,1.7,5,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.5879629629629629
2022,6,22,15,438.0,21.1,21.1,9.3,46.97,0.0,0.0,None,0.0,0.0,52.6,19.6,326.0,1009.5,71.1,32.2,766,2.8,8,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.5140845070422535
2022,6,22,16,289.0,20.9,20.9,8.7,45.53,0.0,0.0,None,0.0,0.0,50.8,26.3,322.2,1010.0,82.1,22.3,475,1.7,5,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.33449074074074076
2022,6,22,17,309.0,20.9,20.9,8.0,43.42,0.0,0.0,rain,0.0,0.0,48.2,23.8,327.7,1009.0,77.7,23.5,458,1.6,5,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.3576388888888889
2022,6,22,18,318.0,22.3,22.3,8.1,40.14,0.0,0.0,None,0.0,0.0,45.0,14.4,320.0,1009.8,60.0,32.2,544,2.0,5,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.3732394366197183
2022,6,22,19,295.0,20.0,20.0,8.9,48.78,0.0,0.0,None,0.0,0.0,41.4,17.6,325.9,1010.0,58.1,23.1,391,1.4,4,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.3414351851851852
2022,6,22,20,79.0,19.3,19.3,9.6,53.41,0.0,0.0,rain,0.0,0.0,32.0,13.3,329.7,1010.0,50.6,24.1,231,0.8,2,10,Partially cloudy,partly-cloudy-day,remote,864.0,0.09143518518518519
2022,6,22,21,22.0,20.2,20.2,7.6,44.39,0.0,0.0,None,0.0,0.0,24.1,9.2,329.0,1010.6,46.6,15.5,79,0.3,1,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.025821596244131457
2022,6,22,22,2.0,16.3,16.3,9.1,62.39,0.0,0.0,None,0.0,0.0,16.6,7.9,336.2,1012.0,63.4,24.1,4,0.0,0,10,Partially cloudy,partly-cloudy-night,remote,864.0,0.0023148148148148147
2022,6,22,23,0.0,15.6,15.6,8.9,64.36,0.0,0.0,None,0.0,0.0,14.0,6.5,330.1,1012.0,69.7,24.1,0,0.0,0,10,Partially cloudy,partly-cloudy-night,remote,864.0,0.0
2022,6,23,0,0.0,13.9,13.9,10.9,81.83,0.0,0.0,rain,0.0,0.0,11.2,2.0,350.0,1012.9,40.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,33177099999.3339,852.0,0.0
2022,6,23,1,0.0,13.9,13.9,8.9,71.82,0.0,0.0,None,0.0,0.0,10.8,6.1,325.8,1013.0,45.7,24.1,0,0.0,0,10,Partially cloudy,partly-cloudy-night,remote,864.0,0.0
2022,6,23,2,0.0,13.1,13.1,8.5,73.64,0.0,0.0,None,0.0,0.0,10.8,5.8,328.3,1013.0,1.5,24.1,0,0.0,0,10,Clear,clear-night,remote,864.0,0.0
2022,6,23,3,0.0,11.3,11.3,9.0,85.51,0.0,0.0,None,0.0,0.0,10.4,0.0,322.1,1013.1,100.0,10.0,0,0.0,0,10,Overcast,cloudy,33177099999.3339,852.0,0.0
2022,6,23,4,0.0,11.4,11.4,8.3,81.24,0.0,0.0,None,0.0,0.0,11.2,6.5,322.7,1013.0,100.0,24.1,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,23,5,0.0,11.1,11.1,8.1,81.76,0.0,0.0,None,0.0,0.0,11.5,6.5,329.9,1013.0,100.0,24.1,0,0.0,0,10,Overcast,cloudy,remote,864.0,0.0
2022,6,23,6,2.0,10.0,10.0,8.5,90.55,0.0,0.0,None,0.0,0.0,11.9,2.0,260.0,1013.8,40.0,10.0,14,0.1,0,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.002347417840375587
2022,6,23,7,16.0,12.8,12.8,8.5,75.1,0.0,0.0,None,0.0,0.0,13.3,7.6,339.7,1014.0,14.0,24.1,117,0.4,1,10,Clear,clear-day,remote,864.0,0.018518518518518517
2022,6,23,8,92.0,15.0,15.0,9.2,68.26,0.0,0.0,None,0.0,0.0,18.0,9.7,343.1,1014.0,100.0,24.1,268,1.0,3,10,Overcast,cloudy,remote,864.0,0.10648148148148148
2022,6,23,9,199.0,17.2,17.2,9.8,61.81,0.0,0.0,None,0.0,0.0,21.6,7.2,7.0,1014.7,57.7,15.5,429,1.5,4,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.2335680751173709
2022,6,23,10,292.0,18.7,18.7,10.3,58.11,0.0,0.0,None,0.0,0.0,23.0,11.9,346.2,1015.0,100.0,24.1,557,2.0,6,10,Overcast,cloudy,remote,864.0,0.33796296296296297
2022,6,23,11,512.0,20.3,20.3,10.0,51.56,0.0,0.0,None,0.0,0.0,25.9,13.3,354.5,1015.0,100.0,24.1,541,1.9,5,10,Overcast,cloudy,remote,864.0,0.5925925925925926
2022,6,23,12,643.0,22.1,22.1,8.3,41.1,0.0,0.0,None,0.0,0.0,26.3,10.8,320.0,1015.1,71.1,32.2,610,2.2,6,10,Partially cloudy,partly-cloudy-day,33177099999.3339,852.0,0.7546948356807511
